"id";"x";"y";"p_mac1";"p_mac2";"p_mac3";"p_mac4";"p_mac5";"p_mac6";"p_mac7";"p_mac8"
1;0.0;0.0;-55.0;-71.0;-74.0;-83.0;-47.0;-53.0;-57.0;-79.0
2;1.0;0.0;-51.0;-70.0;-71.0;-68.0;-45.0;-53.0;-54.0;-87.0
3;2.0;0.0;-53.0;-70.0;-71.0;-68.0;-38.0;-52.0;-63.0;-85.0
4;3.0;0.0;-49.0;-66.0;-75.0;-71.0;-38.0;-50.0;-58.0;-79.0
5;4.0;0.0;-45.0;-68.0;-77.0;-68.0;-38.0;-50.0;-55.0;-81.0
6;5.0;0.0;-37.0;-62.0;-72.0;-68.0;-51.0;-45.0;-47.0;-79.0
7;6.0;0.0;-22.0;-66.0;-72.0;-69.0;-52.0;-50.0;-54.0;-82.0
8;7.0;0.0;-31.0;-64.0;-75.0;-71.0;-59.0;-52.0;-52.0;-84.0
9;8.0;0.0;-41.0;-62.0;-71.0;-70.0;-65.0;-58.0;-53.0;-82.0
10;0.0;1.0;-47.0;-67.0;-72.0;-72.0;-46.0;-49.0;-57.0;-78.0
11;1.0;1.0;-52.0;-64.0;-70.0;-67.0;-38.0;-47.0;-55.0;-76.0
12;2.0;1.0;-52.0;-69.0;-72.0;-67.0;-34.0;-45.0;-58.0;-74.0
13;3.0;1.0;-44.0;-66.0;-74.0;-65.0;-38.0;-53.0;-55.0;-77.0
14;4.0;1.0;-37.0;-64.0;-75.0;-69.0;-45.0;-46.0;-50.0;-80.0
15;5.0;1.0;-32.0;-64.0;-73.0;-67.0;-58.0;-47.0;-55.0;-85.0
16;6.0;1.0;-32.0;-62.0;-75.0;-66.0;-55.0;-52.0;-58.0;-83.0
17;7.0;1.0;-38.0;-64.0;-69.0;-65.0;-56.0;-47.0;-56.0;-79.0
18;8.0;1.0;-48.0;-68.0;-73.0;-68.0;-57.0;-49.0;-58.0;-81.0
19;0.0;2.0;-51.0;-67.0;-75.0;-66.0;-38.0;-48.0;-56.0;-73.0
20;1.0;2.0;-46.0;-67.0;-69.0;-66.0;-42.0;-46.0;-64.0;-79.0
21;2.0;2.0;-49.0;-66.0;-68.0;-65.0;-38.0;-49.0;-47.0;-70.0
22;3.0;2.0;-48.0;-66.0;-75.0;-70.0;-40.0;-45.0;-58.0;-81.0
23;4.0;2.0;-41.0;-67.0;-75.0;-71.0;-45.0;-54.0;-49.0;-80.0
24;5.0;2.0;-42.0;-66.0;-73.0;-65.0;-51.0;-49.0;-55.0;-84.0
25;7.0;2.0;-49.0;-61.0;-74.0;-66.0;-46.0;-47.0;-53.0;-78.0
26;8.0;2.0;-49.0;-63.0;-75.0;-66.0;-47.0;-54.0;-53.0;-68.0
27;6.0;2.0;-45.0;-65.0;-70.0;-69.0;-52.0;-57.0;-58.0;-68.0
28;0.0;3.0;-45.0;-66.0;-69.0;-71.0;-42.0;-47.0;-51.0;-73.0
29;1.0;3.0;-55.0;-65.0;-71.0;-68.0;-39.0;-43.0;-51.0;-80.0
30;2.0;3.0;-46.0;-65.0;-70.0;-66.0;-39.0;-41.0;-47.0;-80.0
31;3.0;3.0;-41.0;-66.0;-67.0;-67.0;-45.0;-44.0;-54.0;-87.0
32;4.0;3.0;-41.0;-62.0;-71.0;-66.0;-45.0;-44.0;-47.0;-78.0
33;5.0;3.0;-40.0;-67.0;-71.0;-66.0;-54.0;-45.0;-51.0;-81.0
34;6.0;3.0;-40.0;-62.0;-71.0;-66.0;-53.0;-40.0;-51.0;-82.0
35;7.0;3.0;-48.0;-62.0;-73.0;-67.0;-53.0;-45.0;-58.0;-84.0
36;8.0;3.0;-44.0;-67.0;-71.0;-71.0;-49.0;-45.0;-51.0;-78.0
37;0.0;4.0;-53.0;-67.0;-71.0;-72.0;-48.0;-41.0;-55.0;-81.0
38;1.0;4.0;-51.0;-69.0;-70.0;-72.0;-46.0;-48.0;-60.0;-83.0
39;2.0;4.0;-43.0;-70.0;-68.0;-65.0;-42.0;-41.0;-57.0;-81.0
40;3.0;4.0;-49.0;-60.0;-69.0;-65.0;-44.0;-44.0;-48.0;-85.0
41;4.0;4.0;-45.0;-61.0;-68.0;-64.0;-56.0;-45.0;-52.0;-81.0
42;5.0;4.0;-56.0;-60.0;-69.0;-67.0;-62.0;-42.0;-56.0;-84.0
43;6.0;4.0;-46.0;-62.0;-69.0;-67.0;-56.0;-46.0;-56.0;-68.0
44;7.0;4.0;-44.0;-67.0;-72.0;-68.0;-53.0;-45.0;-51.0;-85.0
45;8.0;4.0;-52.0;-68.0;-72.0;-74.0;-52.0;-46.0;-59.0;-84.0
46;0.0;5.0;-49.0;-69.0;-67.0;-66.0;-53.0;-46.0;-53.0;-76.0
47;1.0;5.0;-53.0;-67.0;-64.0;-67.0;-46.0;-40.0;-51.0;-75.0
48;2.0;5.0;-46.0;-65.0;-68.0;-66.0;-49.0;-43.0;-49.0;-82.0
49;3.0;5.0;-48.0;-58.0;-71.0;-71.0;-50.0;-40.0;-55.0;-80.0
50;4.0;5.0;-51.0;-62.0;-66.0;-66.0;-56.0;-41.0;-48.0;-81.0
51;5.0;5.0;-53.0;-62.0;-73.0;-67.0;-60.0;-43.0;-55.0;-82.0
52;6.0;5.0;-50.0;-61.0;-68.0;-66.0;-51.0;-45.0;-57.0;-82.0
53;7.0;5.0;-53.0;-58.0;-68.0;-65.0;-56.0;-42.0;-47.0;-84.0
54;8.0;5.0;-57.0;-60.0;-73.0;-68.0;-58.0;-47.0;-55.0;-86.0
55;0.0;6.0;-53.0;-65.0;-68.0;-69.0;-52.0;-39.0;-44.0;-75.0
56;1.0;6.0;-52.0;-67.0;-69.0;-65.0;-47.0;-39.0;-39.0;-80.0
57;2.0;6.0;-51.0;-67.0;-66.0;-65.0;-53.0;-43.0;-50.0;-81.0
58;3.0;6.0;-53.0;-66.0;-68.0;-66.0;-55.0;-41.0;-53.0;-82.0
59;4.0;6.0;-48.0;-65.0;-70.0;-66.0;-57.0;-37.0;-48.0;-81.0
60;5.0;6.0;-51.0;-66.0;-71.0;-73.0;-56.0;-39.0;-49.0;-78.0
61;6.0;6.0;-54.0;-60.0;-66.0;-69.0;-54.0;-49.0;-59.0;-77.0
62;7.0;6.0;-50.0;-59.0;-70.0;-66.0;-60.0;-51.0;-53.0;-80.0
63;8.0;6.0;-56.0;-64.0;-73.0;-68.0;-58.0;-45.0;-54.0;-80.0
64;0.0;7.0;-52.0;-62.0;-71.0;-66.0;-53.0;-50.0;-42.0;-73.0
65;1.0;7.0;-48.0;-64.0;-69.0;-63.0;-45.0;-43.0;-46.0;-75.0
66;2.0;7.0;-54.0;-63.0;-70.0;-67.0;-48.0;-37.0;-42.0;-76.0
67;3.0;7.0;-48.0;-58.0;-61.0;-68.0;-56.0;-36.0;-51.0;-77.0
68;4.0;7.0;-53.0;-66.0;-67.0;-66.0;-58.0;-35.0;-48.0;-84.0
69;5.0;7.0;-51.0;-61.0;-64.0;-71.0;-49.0;-32.0;-50.0;-77.0
70;6.0;7.0;-52.0;-61.0;-61.0;-66.0;-59.0;-40.0;-51.0;-76.0
71;7.0;7.0;-57.0;-59.0;-62.0;-71.0;-58.0;-41.0;-52.0;-72.0
72;8.0;7.0;-54.0;-65.0;-67.0;-66.0;-49.0;-39.0;-51.0;-71.0
73;0.0;8.0;-53.0;-69.0;-70.0;-60.0;-56.0;-50.0;-28.0;-76.0
74;1.0;8.0;-55.0;-71.0;-70.0;-58.0;-55.0;-53.0;-34.0;-76.0
75;2.0;8.0;-49.0;-66.0;-68.0;-65.0;-57.0;-54.0;-37.0;-75.0
76;3.0;8.0;-51.0;-65.0;-67.0;-63.0;-56.0;-50.0;-41.0;-81.0
77;4.0;8.0;-50.0;-67.0;-70.0;-65.0;-49.0;-44.0;-50.0;-74.0
78;5.0;8.0;-54.0;-63.0;-64.0;-68.0;-54.0;-37.0;-49.0;-75.0
79;6.0;8.0;-55.0;-64.0;-69.0;-68.0;-54.0;-32.0;-50.0;-74.0
80;7.0;8.0;-56.0;-60.0;-68.0;-71.0;-57.0;-30.0;-55.0;-80.0
81;8.0;8.0;-52.0;-62.0;-64.0;-67.0;-53.0;-38.0;-57.0;-74.0
